ID,version,HIP,TYC,UCAC,TWOMASS,SDSS,ALLWISE,GAIA,APASS,KIC,objType,typeSrc,ra,dec,POSflag,pmRA,e_pmRA,pmDEC,e_pmDEC,PMflag,plx,e_plx,PARflag,gallong,gallat,eclong,eclat,Bmag,e_Bmag,Vmag,e_Vmag,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,TWOMflag,prox,w1mag,e_w1mag,w2mag,e_w2mag,w3mag,e_w3mag,w4mag,e_w4mag,GAIAmag,e_GAIAmag,Tmag,e_Tmag,TESSflag,SPFlag,Teff,e_Teff,logg,e_logg,MH,e_MH,rad,e_rad,mass,e_mass,rho,e_rho,lumclass,lum,e_lum,d,e_d,ebv,e_ebv,numcont,contratio,disposition,duplicate_id,priority,eneg_EBV,epos_EBV,EBVflag,eneg_Mass,epos_Mass,eneg_Rad,epos_Rad,eneg_rho,epos_rho,eneg_logg,epos_logg,eneg_lum,epos_lum,eneg_dist,epos_dist,distflag,eneg_Teff,epos_Teff,TeffFlag,gaiabp,e_gaiabp,gaiarp,e_gaiarp,gaiaqflag,starchareFlag,VmagFlag,BmagFlag,splists,e_RA,e_Dec,RA_orig,Dec_orig,e_RA_orig,e_Dec_orig,raddflag,wdflag,objID
642828245,20190415,,,,,1237670960560015252,,241739760360003200,,,STAR,gaia2,52.547456483415,44.9642438084153,gaia2,nan,nan,nan,nan,,nan,nan,,150.1848931027,-9.34358362278422,61.6205808550999,25.1458919571067,nan,nan,nan,nan,30.0,50.0,22.8479,0.146099,21.2475,0.0589124,20.3914,0.041595,19.8523,0.0918404,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,21.1788,0.041879,20.7488,0.6,goffs,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,,nan,,,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,,nan,0.0,nan,0.0,,,,,,6.4068895242258,2.96130400695743,52.547456483415,44.9642438084153,6.4068895242258,2.96130400695743,,0,47891071
642838465,20190415,,,,,1237670960559950278,,241834558877139456,,,STAR,gaia2,52.3373768731036,44.9806200684368,gaia2,16.1018,3.93788,-6.98117,2.17914,gaia2,-2.57394,1.5604,gaia2,150.052094056925,-9.41560369834582,61.4672029695993,25.2014866449777,nan,nan,21.4837,0.2484,30.0,50.0,23.2006,0.198322,21.2532,0.0569871,19.9569,0.0289348,19.2918,0.0566836,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,20.7603,0.013239,19.84,0.0958,gbprp,gaia2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,2024.79,1189.47,0.173019,0.01384155,,nan,,,nan,0.0158824,0.0118007,panstarrs,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,915.06,1463.88,bj2018,nan,nan,,21.3913,0.342563,19.3923,0.064138,0,,gaia2,,,66.0761037011331,33.7836660876966,52.3374748834173,44.9805900106632,1.28859162208185,0.687501298966742,1,0,47893510
642828404,20190415,,,,,1237670960560079815,,241741207763436928,,,STAR,gaia2,52.6659990372962,45.0526501785365,gaia2,-1.31928,1.26926,-0.383163,0.768559,gaia2,-0.412068,0.694217,gaia2,150.202629618629,-9.22302525020022,61.7358917125275,25.2087198015802,nan,nan,20.3424,0.0639,21.839,0.163431,20.8045,0.028446,19.9752,0.0220851,19.6283,0.0227901,19.4499,0.063259,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,20.0564,0.005295,19.4249,0.0083,rered,gaia2,5300.0,295.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,DWARF,nan,nan,2183.1,1168.35,0.183831,0.00870334,,nan,,,nan,0.0105782,0.00682848,panstarrs,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,891.63,1445.08,bj2018,nan,nan,dered,20.5981,0.08337,19.373,0.05948,1,,gaia2,,,21.3045775848074,11.916756672277,52.6659909968412,45.0526485288072,0.504078188159362,0.31227247188839,1,0,47891230
642827802,20190415,,,,,1237670458050086181,,241735499749055232,,,STAR,gaia2,52.667851415851,44.8951514866881,gaia2,0.40405,0.72602,-0.225038,0.423761,gaia2,0.148221,0.352173,gaia2,150.295852852223,-9.35086623640459,61.6909315647251,25.0565660276885,nan,nan,19.4626,0.0507,21.3933,0.126741,19.8444,0.0163557,19.1383,0.0131851,18.8781,0.0136203,18.6852,0.0387093,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,19.1979,0.002944,18.5894,0.0153,rered,gaia2,5583.0,196.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,DWARF,nan,nan,2274.04,1095.8,0.222787,0.01005987,,nan,,,nan,0.0129129,0.00720684,panstarrs,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,813.9,1377.69,bj2018,nan,nan,dered,19.7599,0.043444,18.585,0.028122,1,,gaia2,,,12.1788987330231,6.57033544625957,52.6678538716116,44.8951505177745,0.270263769045635,0.163713472428697,1,0,47890628
347565837,20190415,,,,03301884+4450519,1237670458050086796,J033018.90+445051.9,241641525864460288,,,STAR,tmgaia2,52.5788790312893,44.8477249168319,tmgaia2,nan,nan,nan,nan,,nan,nan,,150.27138388322,-9.42598638775135,61.6099128475283,25.0276607757959,nan,nan,21.1905,0.1375,30.0,50.0,22.6509,0.148822,21.057,0.0568259,19.5149,0.0215773,18.7223,0.0401626,17.263,0.189,16.132,0.186,15.977,0.229,CCD-222-111-000-0-0,nan,16.44,0.08,15.723,0.125,12.403,nan,8.873,nan,20.3423,0.006977,19.3654,0.0392,gbprp,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,,nan,,,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,,21.2035,0.164377,19.0333,0.045546,0,,gaia2,,,0.776521240180392,0.442285990413765,52.5788790312893,44.8477249168319,0.776521240180392,0.442285990413765,1,0,47514696
642817514,20190415,,,,,1237670458050021740,,241641594582497536,,,STAR,gaia2,52.5472031060983,44.836446632146,gaia2,-0.548486,0.999825,1.01376,0.572384,gaia2,0.145523,0.445777,gaia2,150.259373174367,-9.44814462814127,61.5826913712073,25.0227847257765,nan,nan,19.9483,0.0547,22.3076,0.267523,20.4551,0.0247867,19.5441,0.0171881,19.2137,0.0171772,19.6797,0.0872108,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,19.6198,0.00329,18.9445,0.0092,rered,gaia2,5038.0,191.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,DWARF,nan,nan,2102.65,1083.14,0.174896,0.01028125,,nan,,,nan,0.0101945,0.010368,panstarrs,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,800.56,1365.72,bj2018,nan,nan,dered,20.1837,0.057612,18.8635,0.027564,1,,gaia2,,,16.7679566084446,8.87458417907354,52.5471997758734,44.8364509969461,0.350875897571152,0.216129732240388,1,0,47888262
642817496,20190415,,,,,1237670458050021696,,241641388424062976,,,STAR,gaia2,52.5565794760853,44.8181899297279,gaia2,-1.65646,1.62765,-4.86647,0.895765,gaia2,1.5694,0.623022,gaia2,150.275547923184,-9.45923362744857,61.5843865077402,25.0034154061378,nan,nan,20.6685,0.0869,24.3893,1.68892,21.7665,0.0684756,20.1088,0.0260101,19.3555,0.0189623,18.9327,0.0466852,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,20.057,0.005247,19.1713,0.0123,rered,gaia2,4101.0,183.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,DWARF,nan,nan,770.094,654.826,0.136703,0.01464882,,nan,,,nan,0.00979214,0.0195055,panstarrs,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,308.085,1001.57,bj2018,nan,nan,dered,20.8971,0.103384,19.0651,0.049885,1,,gaia2,,,27.2945024135149,13.8877343965086,52.556569421795,44.8181689768712,0.525009795145201,0.306240885843054,1,0,47888244
642848463,20190415,,,,,1237670960560081028,,241928807636992384,,,STAR,gaia2,52.5691213254297,45.1338678514757,gaia2,-1.75796,1.3404,0.256663,0.720313,gaia2,0.0146802,0.689471,gaia2,150.098580028037,-9.19610551646768,61.6869972911334,25.305250857339,nan,nan,20.4352,0.0785,23.0238,0.452114,21.0695,0.0355783,19.7974,0.0196591,19.2729,0.0178293,18.8573,0.0403923,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,19.8692,0.005285,18.9998,0.009,rered,gaia2,4372.0,192.0,4.90799,nan,nan,nan,0.480059,nan,0.68,nan,6.14648,nan,DWARF,0.0758584142,nan,1954.45,1135.29,0.221723,0.00855054,,nan,,,nan,0.0119097,0.00519138,panstarrs,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,838.95,1431.62,bj2018,nan,nan,dered,20.7607,0.093113,19.001,0.044138,1,,gaia2,,,22.5045602045037,11.1686739994043,52.5691105961575,45.133868956553,0.501304272216568,0.292181258669573,1,0,47895746
642838444,20190415,,,,,1237670960559950290,,241834318358985216,,,STAR,gaia2,52.368108661169,44.9722385908407,gaia2,8.11511,4.21536,1.04709,2.42491,gaia2,-0.235539,1.41867,gaia2,150.075016986256,-9.40999539106487,61.4878588182504,25.1875757603481,nan,nan,21.6565,0.1598,30.0,50.0,22.7561,0.134362,21.1353,0.051941,20.0031,0.0303211,19.4996,0.0675642,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,20.8031,0.011577,19.7894,0.0162,rered,gaia2,3881.0,180.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,DWARF,nan,nan,1723.67,1141.52,0.153195,0.0150671946,,nan,,,nan,0.0204135,0.00972089,panstarrs,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,851.967,1431.08,bj2018,nan,nan,dered,21.8416,0.193088,19.6646,0.054371,1,,gaia2,,,70.7283315670476,37.5932012838811,52.3681580499474,44.9722430991555,1.26333069744511,0.730406530211337,1,0,47893489
642848368,20190415,,,,,1237670960560014475,,241927776844820608,,,STAR,gaia2,52.5139867400411,45.0117333924266,gaia2,1.36399,0.60727,-1.26256,0.390535,gaia2,0.554512,0.310831,gaia2,150.137575929786,-9.31838202865741,61.6093953831253,25.1979814361314,nan,nan,19.2558,0.0488,21.1095,0.0904133,19.6308,0.0132029,18.9641,0.0110634,18.6872,0.011859,18.4586,0.0291495,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,19.0163,0.00249,18.4399,0.0322,rered,gaia2,5511.0,173.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,DWARF,nan,nan,1654.82,840.895,0.156288,0.01542215,,nan,,,nan,0.0158432,0.0150011,panstarrs,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,562.99,1118.8,bj2018,nan,nan,dered,19.4944,0.037872,18.3822,0.019003,1,,gaia2,,,10.19144983222,6.05520039984353,52.5139950470436,45.0117279564047,0.238491407978429,0.15199273571137,1,0,47895651
